"applicant_id","user_id","bunkhouse_id","tribe_id","camp_time_slots","applicant_first_name","applicant_last_name","applicant_age","applicant_gender","applicant_address","guardian_first_name","guardian_last_name","guardian_contact_number","guardian_address","application_date","emergency_contact","payment","medical_form","legal_form","helmet","boot","sleeping_bag","water_bottle","sunscreen","bugs_spray","check_in_status","application_status","acceptance_packet","mailing_date","rejected_reason","guardian_ssn","cancel_flag","refund","cancel_date","applicant_name_together_with","applicant_id_together_with","applicant_name_not_together_with","applicant_id_not_together_with"
"11","1","","","2017-07-09 00:00:00.000000","YUKI","WHOBREY","9","MALE","1 State Route 27, Taylor, Wayne, MI 48180","VALENTIN","WHOBREY","3063167477","1 State Route 27, Taylor, Wayne, MI 48180","2016-11-26 21:28:33.525999","5062764830","1000","","","","","","","","","","1","","","NO VIOLATIONS","111-00-2222","0","","","","","","NONE"
"12","1","","","2017-07-09 00:00:00.000000","WILLOW","KUSKO","18","MALE","90991 Thorburn Ave, New York, New York, NY 10011","ANDREE","CHRISTMANN","5196484096","90991 Thorburn Ave, New York, New York, NY 10011","2016-11-26 21:31:29.549194","5062764830","1100","","","","","","","","","","1","1","2016-12-10 15:11:55.066086","NO VIOLATIONS","012-34-5678","0","","","","","","NONE"
"13","1","","","2017-07-09 00:00:00.000000","JAMAL","VANAUSDAL","15","MALE","53075 Sw 152nd Ter #615, Monroe Township, Middlesex, NJ 8831","EURA","VANAUSDAL","3068138269","53075 Sw 152nd Ter #615, Monroe Township, Middlesex, NJ 8831","2016-11-26 21:34:23.122980","5062764830","1000","","","","","","","","","","1","1","2016-12-10 15:11:55.068200","NO VIOLATIONS","102-22-1234","0","","","","","","NONE"
"14","1","","","2017-07-09 00:00:00.000000","CECILY","HOLLACK","10","MALE","59 N Groesbeck Hwy, Austin, Travis, TX 78731","LANG","HOLLACK","5198643447","59 N Groesbeck Hwy, Austin, Travis, TX 78731","2016-11-26 21:38:29.959583","5062764830","1000","","","","","","","","","","1","1","2016-12-10 15:11:55.069703","NO VIOLATIONS","111-23-4567","0","","","","","","NONE"
"15","1","1","","2017-06-11 00:00:00.000000","WILLIAM","GOLDBERG","15","MALE","Bonsall, California, United States","GOLDBERG","SCOTT","9199092912","Bonsall, California, United States","2016-11-27 16:03:07.933956","9199092912","1200","1","1","1","1","1","1","1","1","1","1","1","2016-12-10 14:46:01.176742","NO VIOLATIONS","110-00-0000","0","","","","","",""
"16","1","","","2017-07-09 00:00:00.000000","KATHIK","BASAVANAHALLI","16","MALE","Calista Wise, 7292 Dictum Av. San Antonio MI 47096","MANJUNATH","BASAVANAHALLI","9096751122","Calista Wise, 7292 Dictum Av. San Antonio MI 47096","2016-11-27 16:18:13.792583","5062764830","1200","","","","","","","","","","1","1","2016-12-10 15:11:55.071705","NO VIOLATIONS","112-00-3231","0","","","","","","NONE"
"17","1","","","2017-06-11 00:00:00.000000","EMMA","WATSON","27","FEMALE","840 Wood St, Clarion, PA 16214, USA","MR","WATSON","1234567890","840 Wood St, Clarion, PA 16214, USA","2016-11-29 00:10:25.697534","1234567890","1000","s""""","","","","","","","","","0","","","AGE IS NOT BETWEEN 8 AND 19","134-44-6483","","","","","","",""
"18","1","","","2017-07-09 00:00:00.000000","SNIVY","RYDER","9","FEMALE","1241 East Main Street Stamford, CT 06902 USA","ZACK","RYDER","2033528600","1241 East Main Street Stamford, CT 06902 USA","2016-11-29 14:07:31.173355","2033528600","1200","","","","","","","","","","1","","","NO VIOLATIONS","001-11-2121","0","","","","","","14"
"19","1","","","2017-07-09 00:00:00.000000","KANCHAN","GHONGE","16","FEMALE","SDV, Airoli, Maharashtra, India","VAIBHAV","GHONGE","9191919110","SDV, Airoli, Maharashtra, India","2016-11-29 14:10:22.605823","9191919110","1000","","","","","","","","","","1","","","NO VIOLATIONS","100-99-8787","0","","","","","","NONE"
"20","1","","","2017-07-09 00:00:00.000000","JOSEPHINE","DARAKJY","15","FEMALE","4 B Blue Ridge Blvd, Brighton, Livingston, MI 48116","KENDRA","DARAKJY","5069324472","4 B Blue Ridge Blvd, Brighton, Livingston, MI 48116","2016-11-29 14:12:21.495608","5069324472","1000","","","","","","","","","","1","","","NO VIOLATIONS","090-87-8989","0","","","","","","NONE"
"21","1","","","2017-07-09 00:00:00.000000","KRIS","MARRIER","17","FEMALE","228 Runamuck Pl #2808, Baltimore, Baltimore City, MD 21224","PAOLA","MARRIER","9052637711","228 Runamuck Pl #2808, Baltimore, Baltimore City, MD 21224","2016-11-29 14:14:47.074711","9052637711","1001","","","","","","","","","","1","","","NO VIOLATIONS","201-34-5678","0","","","","","","20"
"22","1","","","2017-07-09 00:00:00.000000","ABEL","MACLEAD","13","FEMALE","37275 St Rt 17m M, Middle Island, Suffolk, NY 11953","LEANNA","TIJERINA","4166581773","37275 St Rt 17m M, Middle Island, Suffolk, NY 11953","2016-11-29 14:17:11.715827","4166581773","1000","","","","","","","","","","1","1","2016-12-10 13:08:44.377612","NO VIOLATIONS","101-11-1213","0","","","","","","NONE"
"23","1","","","2017-07-09 00:00:00.000000","GRACIELA","RUTA","18","FEMALE","98 Connecticut Ave Nw, Chagrin Falls, Geauga, OH 44023","HUEY","RUTA","7805201241","98 Connecticut Ave Nw, Chagrin Falls, Geauga, OH 44023","2016-11-29 14:20:08.830637","7805201241","1000","","","","","","","","","","1","1","2016-12-10 13:08:44.383147","NO VIOLATIONS","909-99-9999","0","","","","","","NONE"
"24","1","","","2017-07-09 00:00:00.000000","MEAGHAN","GARUFI","9","FEMALE","69734 E Carrillo St, Mc Minnville, Warren, TN 37110","CRISSY","GARUFI","7055236746","69734 E Carrillo St, Mc Minnville, Warren, TN 37110","2016-11-29 14:32:35.169643","7055236746","1000","","","","","","","","","","1","1","2016-12-10 13:08:44.387651","NO VIOLATIONS","100-21-0495","0","","","","","","NONE"
"25","1","","","2017-07-09 00:00:00.000000","CAMMY","ALBARES","18","MALE","56 E Morehead St, Laredo, Webb, TX 78045","APOLONIA","ALBARES","5062211874","56 E Morehead St, Laredo, Webb, TX 78045","2016-11-30 00:39:22.857196","5062211874","1000","","","","","","","","","","1","","","NO VIOLATIONS","120-11-3456","0","","","","","","NONE"
"26","1","","","2017-07-09 00:00:00.000000","GLADYS","RIM","12","FEMALE","322 New Horizon Blvd, Milwaukee, Milwaukee, WI 53207","GIANNA","RIM","4035405944","322 New Horizon Blvd, Milwaukee, Milwaukee, WI 53207","2016-11-30 00:43:42.676066","4035405944","1100","","","","","","","","","","1","","","NO VIOLATIONS","109-11-1234","0","","","","","","NONE"
"27","1","","","2017-07-09 00:00:00.000000","BETTE","NICKA","10","MALE","6 S 33rd St, Aston, Delaware, PA 19014","WILLARD","NICKA","7808358022","6 S 33rd St, Aston, Delaware, PA 19014","2016-11-30 01:03:00.812204","7808358022","1000","","","","","","","","","","1","","","NO VIOLATIONS","234-11-9733","0","","","","","","NONE"
"28","1","","","2017-07-09 00:00:00.000000","VERONIKA","INOUYE","15","FEMALE","6 Greenleaf Ave, San Jose, CA 95111","LAURYN","INOUYE","6045975482","6 Greenleaf Ave, San Jose, CA 95111","2016-11-30 11:58:06.931461","6045975482","1000","","","","","","","","","","1","","","NO VIOLATIONS","678-99-5678","0","","","","","","NONE"
"29","1","","","2017-07-09 00:00:00.000000","BROCK","BOLOGNIA","13","MALE","4486 W O St #1, New York, New York, NY 10003","JILLIAN","BOLOGNIA","9059957113","4486 W O St #1, New York, New York, NY 10003","2016-11-30 12:11:55.620101","9059957113","1000","","","","","","","","","","1","1","2016-12-10 15:11:55.109236","NO VIOLATIONS","456-78-9089","0","","","","","","NONE"
"30","1","","","2017-07-09 00:00:00.000000","LORRIE","NESTLE","13","FEMALE","39 S 7th St, Tullahoma, Coffee, TN 37388","LOUIS","NESTLE","4183962430","39 S 7th St, Tullahoma, Coffee, TN 37388","2016-11-30 12:20:16.033092","4183962430","1000","","","","","","","","","","1","1","2016-12-10 15:11:55.111733","NO VIOLATIONS","232-11-3438","0","","","","","","NONE"
"31","1","","","2017-07-09 00:00:00.000000","SABRA","UYETAKE","18","MALE","98839 Hawthorne Blvd #6101, Columbia, Richland, SC 29201","EMMETT","UYETAKE","7057798510","98839 Hawthorne Blvd #6101, Columbia, Richland, SC 29201","2016-11-30 12:22:46.773336","7057798510","1000","","","","","","","","","","1","1","2016-12-10 15:11:55.113234","NO VIOLATIONS","109-38-7329","0","","","","","","NONE"
"32","1","","","2017-07-09 00:00:00.000000","MARJORY","MASTELLA","16","FEMALE","71 San Mateo Ave, Wayne, Delaware, PA 19087","TAMMY","MASTELLA","2506256517","71 San Mateo Ave, Wayne, Delaware, PA 19087","2016-11-30 12:25:49.931698","2506256517","1000","","","","","","","","","","1","1","2016-12-10 15:11:55.114735","NO VIOLATIONS","567-39-8939","0","","","","","","NONE"
"33","1","","","2017-07-09 00:00:00.000000","VIVA","TOELKES","11","MALE","4284 Dorigo Ln, Chicago, Cook, IL 60647","MADONNA","TOELKES","2502815616","4284 Dorigo Ln, Chicago, Cook, IL 60647","2016-11-30 12:28:11.644896","2502815616","1000","","","","","","","","","","1","1","2016-12-10 15:11:55.115736","NO VIOLATIONS","392-44-2987","0","","","","","","NONE"
"34","1","","","2017-07-09 00:00:00.000000","ELZA","LIPKE","14","FEMALE","6794 Lake Dr E, Newark, Essex, NJ 7104","CHUCK","BERGGREN","7093746188","6794 Lake Dr E, Newark, Essex, NJ 7104","2016-11-30 12:30:16.211229","7093746188","1100","","","","","","","","","","1","","","NO VIOLATIONS","367-84-7289","0","","","","","","NONE"
"35","1","","","2017-07-09 00:00:00.000000","DEVORAH","CHICKERING","18","MALE","31 Douglas Blvd #950, Clovis, Curry, NM 88101","GREGG","CHICKERING","5142938889","31 Douglas Blvd #950, Clovis, Curry, NM 88101","2016-11-30 12:33:34.011349","5142938889","1000","","","","","","","","","","1","","","NO VIOLATIONS","287-27-4720","0","","","","","","NONE"
"36","1","","","2017-07-09 00:00:00.000000","TIMOTHY","MULQUEEN","15","FEMALE","44 W 4th St, Staten Island, Richmond, NY 10309","YAN","MULQUEEN","5068222002","44 W 4th St, Staten Island, Richmond, NY 10309","2016-11-30 12:35:23.551139","5068222002","1000","","","","","","","","","","1","1","2016-12-10 15:11:55.121240","NO VIOLATIONS","289-38-9528","0","","","","","","NONE"
"37","1","","","2017-07-09 00:00:00.000000","ARLETTE","HONEYWELL","15","MALE","11279 Loytan St, Jacksonville, Duval, FL 32254","STEPHANIE","GARLETT","6139981215","11279 Loytan St, Jacksonville, Duval, FL 32254","2016-11-30 12:37:57.786301","5068222002","1000","","","","","","","","","","1","1","2016-12-10 15:11:55.122741","NO VIOLATIONS","384-37-3924","0","","","","","","NONE"
"38","1","","","2017-07-09 00:00:00.000000","LETTIE","ISENHOWER","14","FEMALE","70 W Main St, Beachwood, Cuyahoga, OH 44122","WAYNE","ISENHOWER","4183233965","70 W Main St, Beachwood, Cuyahoga, OH 44122","2016-11-30 12:41:23.531034","4183233965","1000","","","","","","","","","","1","1","2016-12-10 15:11:55.124244","NO VIOLATIONS","395-94-5837","0","","","","","","NONE"
"39","1","","","2017-07-09 00:00:00.000000","STEPHAINE","BARFIELD","10","FEMALE","47154 Whipple Ave Nw, Gardena, Los Angeles, CA 90247","FLORENCIA","BARFIELD","5192832137","47154 Whipple Ave Nw, Gardena, Los Angeles, CA 90247","2016-11-30 12:44:27.430802","5192832137","1000","","","","","","","","","","1","1","2016-12-10 15:11:55.125243","NO VIOLATIONS","219-37-4977","0","","","","","","NONE"
"40","1","","","2017-07-09 00:00:00.000000","STEPHEN","EMIGH","16","MALE","3777 E Richmond St #900, Akron, Summit, OH 44302","FREEMAN","EMIGH","4505867429","3777 E Richmond St #900, Akron, Summit, OH 44302","2016-11-30 13:16:11.454155","4505867429","1000","","","","","","","","","","1","","","NO VIOLATIONS","328-43-4729","0","","","","","","NONE"
"41","1","","","2017-07-09 00:00:00.000000","TAMMARA","WARDRIP","14","FEMALE","4800 Black Horse Pike, Burlingame, San Mateo, CA 94010","ELLSWORTH","WARDRIP","6134146589","4800 Black Horse Pike, Burlingame, San Mateo, CA 94010","2016-11-30 13:18:48.562919","6134146589","1000","","","","","","","","","","1","1","2016-12-10 15:11:55.130265","NO VIOLATIONS","280-48-8593","0","","","","","","NONE"
"42","1","","","2017-07-09 00:00:00.000000","ROLLAND","FRANCESCON","16","MALE","2726 Charcot Ave, Paterson, Passaic, NJ 7501","HARLEY","FRANCESCON","5196333173","2726 Charcot Ave, Paterson, Passaic, NJ 7501","2016-11-30 13:21:26.536817","0","1001","0","0","0","0","0","0","0","0","0","1","1","2016-12-10 13:08:44.497471","NO VIOLATIONS","347-39-8539","0","","","NONE","NONE","NONE","NONE"
"43","1","","","2017-06-11 00:00:00.000000","MEERA","CHOWHAN","14","FEMALE","A-3, Kinti Gao, Claremont","CHAITANYA","CHOWHAN","9096616618","A-3, Kinti Gao, Claremont","2016-12-10 13:16:13.747514","9096616619","900","","","","","","","","","","0","","","900$ IS LESS THAN 1000$","111-00-1112","","","","","","",""
